Gene,mut.rate,dn.LoF,case.LoF,ctrl.LoF,trans.LoF,ntrans.LoF,dn.mis3,case.mis3,ctrl.mis3,trans.mis3,ntrans.mis3,BF.dn,BF,qvalue.dn,qvalue,pval.TADA
MCHR1,2.38E-05,0,0,0,0,0,0,1,4,2,3,0.762367153,0.419878244,0.930991306,0.939066549,0.725899653
ZBTB40,4.72E-05,0,0,1,0,0,0,5,19,9,10,0.586930073,0.419874514,0.937896483,0.939069116,0.725918335
SLC16A6,2.30E-05,0,0,2,0,0,0,1,4,1,2,0.76902309,0.419821143,0.930460211,0.939071682,0.725994662
KIAA0930,2.38E-05,0,0,0,0,0,0,1,9,3,2,0.762281125,0.419801166,0.931001981,0.939074247,0.726048572
SLFN12L,2.29E-05,0,0,0,0,0,0,0,0,0,0,0.769805172,0.419687108,0.930395906,0.939076813,0.726219909
AJUBA,2.39E-05,0,0,0,0,0,0,0,2,0,0,0.760820268,0.419616773,0.93112602,0.939079379,0.726347478
ACRBP,2.35E-05,0,0,9,0,2,1,3,12,0,1,3.478750476,0.419603076,0.616367784,0.939081944,0.726364025
ZNF507,3.62E-05,0,0,1,1,2,0,6,17,9,2,0.663079264,0.419506433,0.936015094,0.93908451,0.726461703
CKB,2.38E-05,0,0,0,0,0,0,0,6,4,0,0.761679227,0.419434694,0.931058798,0.939087075,0.726594609
SERPIND1,2.31E-05,0,0,2,0,0,0,2,11,2,3,0.767808236,0.419371194,0.930546225,0.93908964,0.726644782
HOOK3,2.38E-05,0,0,0,0,0,0,1,8,4,2,0.76193712,0.419337076,0.93103574,0.939092206,0.726674139
FBXW7,2.40E-05,0,0,0,0,0,0,1,1,3,1,0.760305399,0.419329614,0.93115778,0.93909477,0.726683747
SESN2,2.30E-05,0,0,2,0,0,0,2,11,3,0,0.76902309,0.419280525,0.930458377,0.939097335,0.726786229
BID,1.31E-05,0,0,3,1,1,0,0,2,0,1,0.859977758,0.419267507,0.915222123,0.939099899,0.726823592
ATXN2L,4.88E-05,0,0,4,2,0,0,6,29,5,3,0.576669147,0.4192549,0.938074717,0.939102463,0.726843875
